,imdb_title_id,weighted_average_vote,total_votes
403,tt0015687,6.6,243
404,tt0015693,6.4,681
405,tt0015758,7.0,415
406,tt0015768,7.1,1703
407,tt0015772,6.6,1718
408,tt0015794,6.3,133
409,tt0015801,7.1,310
410,tt0015841,7.5,4882
411,tt0015842,7.2,1348
412,tt0015847,5.8,100
413,tt0015861,6.6,417
414,tt0015863,7.2,3710
415,tt0015864,8.2,97480
416,tt0015872,6.9,151
417,tt0015881,8.1,8898
418,tt0015883,6.9,225
419,tt0015909,6.5,151
420,tt0015935,6.6,112
421,tt0016004,7.3,978
422,tt0016005,6.6,544
423,tt0016006,5.0,125
424,tt0016013,7.2,475
425,tt0016023,6.0,448
426,tt0016028,6.7,877
427,tt0016029,7.1,1420
428,tt0016039,7.0,4513
429,tt0016104,7.3,2126
430,tt0016123,6.2,906
431,tt0016142,6.4,105
432,tt0016185,7.1,310
433,tt0016201,6.2,205
434,tt0016205,6.7,127
435,tt0016220,7.6,16255
436,tt0016226,6.0,269
437,tt0016230,6.0,2111
438,tt0016232,7.0,190
439,tt0016240,6.8,134
440,tt0016241,3.7,132
441,tt0016258,7.1,319
442,tt0016276,6.6,297
443,tt0016288,6.4,170
444,tt0016294,6.8,126
445,tt0016308,6.6,483
446,tt0016309,3.8,132
447,tt0016310,6.7,322
448,tt0016332,7.9,8943
449,tt0016338,6.1,113
450,tt0016377,4.1,112
451,tt0016392,6.4,219
452,tt0016394,6.5,831
453,tt0016395,7.2,277
454,tt0016461,6.5,538
455,tt0016473,7.2,1613
456,tt0016480,6.8,288
457,tt0016481,7.4,1022
458,tt0016491,7.7,693
459,tt0016493,6.7,152
460,tt0016544,5.1,1395
461,tt0016545,5.8,242
462,tt0016548,6.9,123
463,tt0016559,6.8,111
464,tt0016560,5.4,609
465,tt0016563,6.6,123
466,tt0016627,7.0,1050
467,tt0016629,6.5,678
468,tt0016630,7.0,2820
469,tt0016634,7.0,338
470,tt0016640,6.5,354
471,tt0016643,6.3,217
472,tt0016646,5.9,451
473,tt0016654,7.1,1656
474,tt0016655,6.8,618
475,tt0016664,5.5,139
476,tt0016669,7.3,1427
477,tt0016672,5.0,438
478,tt0016690,6.2,1402
479,tt0016691,6.6,117
480,tt0016762,6.6,142
481,tt0016804,7.0,728
482,tt0016822,6.7,888
483,tt0016827,4.6,120
484,tt0016832,6.9,399
485,tt0016847,8.1,13588
486,tt0016854,6.4,208
487,tt0016871,5.8,770
488,tt0016884,7.6,3901
489,tt0016895,7.5,1401
490,tt0016914,6.9,632
491,tt0016939,6.3,270
492,tt0016947,6.6,213
493,tt0016953,6.7,675
494,tt0016971,6.0,127
495,tt0017004,6.4,245
496,tt0017028,6.9,130
497,tt0017029,6.7,399
498,tt0017048,7.4,2758
499,tt0017075,7.3,10024
500,tt0017082,6.3,200
501,tt0017096,6.7,430
502,tt0017103,6.7,545
503,tt0017119,6.8,309
504,tt0017120,6.8,315
505,tt0017128,7.5,2442
506,tt0017136,8.3,156076
507,tt0017159,6.8,263
508,tt0017184,5.7,101
509,tt0017195,7.0,109
510,tt0017196,6.8,682
511,tt0017198,5.2,227
512,tt0017226,6.7,185
513,tt0017271,7.7,919
514,tt0017293,7.1,127
515,tt0017329,6.6,150
