Type,,Air,Air,Water,Water
Info,,AirQuality,AirPollution,WaterQuality,WaterPollution
 Austria,Leoben,80.0,20.0,25.0,75.0
 Austria,Leonding,100.0,0.0,100.0,0.0
 Austria,Lienz,100.0,0.0,50.0,50.0
 Austria,Linz,61.76470588235294,38.23529411764706,72.5,27.500000000000004
 Austria,Mittersill,50.0,50.0,50.0,50.0
 Austria,Modling,87.5,12.5,50.0,50.0
 Austria,Salzburg,82.6923076923077,17.307692307692307,61.11111111111111,38.88888888888889
 Austria,Schwechat,87.5,12.5,50.0,50.0
 Austria,Steyr,100.0,0.0,50.0,50.0
 Austria,Traun,87.5,12.5,50.0,50.0
 Austria,Tulln an der Donau,87.5,12.5,50.0,50.0
 Austria,Vienna,82.7054794520548,17.294520547945197,89.85507246376811,10.144927536231885
 Austria,Villach,85.41666666666667,14.583333333333329,88.75,11.249999999999998
 Austria,Vocklabruck,100.0,0.0,50.0,50.0
 Austria,Wels,75.0,25.0,100.0,0.0
 Austria,Wiener Neustadt,87.5,12.5,50.0,50.0
 Austria,Wolfsberg,100.0,0.0,50.0,50.0
 Azerbaijan,Baku,29.89690721649485,70.10309278350515,30.978260869565204,69.0217391304348
 Bahrain,Isa Town,25.0,75.0,12.5,87.5
 Bahrain,Manama,40.27777777777778,59.72222222222222,53.2258064516129,46.7741935483871
 Bahrain,Riffa,32.69230769230769,67.3076923076923,46.875,53.125
 Bangladesh,Barisal,20.0,80.0,50.0,50.0
 Bangladesh,Brahmanbaria,25.0,75.0,50.0,50.0
 Bangladesh,Dhaka,14.96815286624204,85.03184713375796,21.74657534246576,78.25342465753424
 Bangladesh,Khulna,45.83333333333333,54.16666666666667,60.714285714285715,39.285714285714285
 Bangladesh,Narayanganj,6.25,93.75,6.25,93.75
 Bangladesh,Rajshahi,47.22222222222222,52.77777777777778,70.0,30.0
 Bangladesh,Rangpur,25.0,75.0,37.5,62.5
 Bangladesh,Sirajganj,100.0,0.0,25.0,75.0
 Bangladesh,Sylhet,50.0,50.0,46.666666666666664,53.333333333333336
 Barbados,Bridgetown,90.0,10.0,85.0,15.000000000000002
 Barbados,Holetown,100.0,0.0,50.0,50.0
 Barbados,Speightstown,75.0,25.0,25.0,75.0
 Belarus,Brest,31.25,68.75,44.99999999999999,55.00000000000001
 Belarus,Gomel,44.73684210526316,55.26315789473684,46.42857142857143,53.57142857142857
 Belarus,Minsk,60.922330097087375,39.077669902912625,58.59375,41.40625
 Belarus,Mogilev,53.125,46.875,50.0,50.0
 Belarus,Slonim,62.5,37.5,87.5,12.5
 Belgium,Aarschot,75.0,25.0,58.33333333333333,41.66666666666667
 Belgium,Antwerp,36.5,63.5,59.2391304347826,40.7608695652174
 Belgium,Arlon,100.0,0.0,50.0,50.0
 Belgium,Beringen,0.0,100.0,0.0,100.0
 Belgium,Bruges,82.5,17.5,70.0,30.0
 Belgium,Brussels,35.810810810810814,64.1891891891892,55.238095238095234,44.761904761904766
 Belgium,Charleroi,50.0,50.0,40.0,60.0
 Belgium,Damme,87.5,12.5,50.0,50.0
 Belgium,Geel,87.5,12.5,50.0,50.0
 Belgium,Genk,62.5,37.5,50.0,50.0
 Belgium,Ghent,55.46875,44.53125,72.32142857142857,27.67857142857143
 Belgium,Hasselt,75.0,25.0,75.0,25.0
 Belgium,Kortrijk,70.83333333333334,29.166666666666657,37.5,62.5
 Belgium,Leuven,56.25,43.75,62.5,37.5
 Belgium,Liege,54.54545454545454,45.45454545454546,71.42857142857143,28.57142857142857
 Belgium,Lokeren,75.0,25.0,50.0,50.0
 Belgium,Mechelen,60.71428571428571,39.28571428571429,75.0,25.0
 Belgium,Mons,80.0,20.0,50.0,50.0
 Belgium,Mouscron,55.00000000000001,44.99999999999999,25.0,75.0
 Belgium,Namur,72.22222222222221,27.777777777777786,44.99999999999999,55.00000000000001
 Belgium,Nivelles,100.0,0.0,50.0,50.0
 Belgium,Ostend,37.5,62.5,50.0,50.0
 Belgium,Roeselare,75.0,25.0,50.0,50.0
 Belgium,Seraing,75.0,25.0,50.0,50.0
 Belgium,Sint-Niklaas,25.0,75.0,50.0,50.0
 Belgium,Sint-Truiden,50.0,50.0,50.0,50.0
 Belgium,Spa,100.0,0.0,50.0,50.0
 Belgium,Tournai,60.71428571428571,39.28571428571429,41.666666666666664,58.333333333333336
 Belgium,Tubize,100.0,0.0,100.0,0.0
 Belgium,Turnhout,75.0,25.0,50.0,50.0
 Belgium,Verviers,62.5,37.5,50.0,50.0
 Belgium,Veurne,87.5,12.5,50.0,50.0
 Belgium,Vilvoorde,75.0,25.0,50.0,50.0
 Belgium,Waregem,100.0,0.0,50.0,50.0
 Belgium,Wavre,75.0,25.0,0.0,100.0
 Belize,Belize City,50.0,50.0,22.222222222222214,77.77777777777779
 Belize,Belmopan,62.5,37.5,45.83333333333334,54.16666666666666
 Belize,Punta Gorda,100.0,0.0,25.0,75.0
 Belize,San Ignacio,100.0,0.0,25.0,75.0
 Benin,Cotonou,25.0,75.0,0.0,100.0
 Bhutan,Paro,75.0,25.0,50.0,50.0
 Bhutan,Thimphu,44.642857142857146,55.357142857142854,40.0,60.0
 Bolivia,Cochabamba,26.38888888888889,73.61111111111111,31.25,68.75
 Bolivia,El Alto,50.0,50.0,0.0,100.0
 Bolivia,La Paz,27.94117647058824,72.05882352941177,20.454545454545453,79.54545454545455
 Bolivia,Trinidad,75.0,25.0,50.0,50.0
 Bosnia and Herzegovina,Banja Luka,45.588235294117645,54.411764705882355,41.40625,58.59375
 Bosnia and Herzegovina,Bihac,100.0,0.0,100.0,0.0
 Bosnia and Herzegovina,Brcko,25.0,75.0,12.5,87.5
 Bosnia and Herzegovina,Doboj,87.5,12.5,25.0,75.0
 Bosnia and Herzegovina,Foca,37.5,62.5,50.0,50.0
 Bosnia and Herzegovina,Mostar,93.1818181818182,6.818181818181799,65.0,35.0
 Bosnia and Herzegovina,Prijedor,75.0,25.0,75.0,25.0
 Bosnia and Herzegovina,Sarajevo,25.0,75.0,55.98958333333333,44.01041666666667
 Bosnia and Herzegovina,Trebinje,100.0,0.0,62.5,37.5
 Bosnia and Herzegovina,Tuzla,10.9375,89.0625,50.0,50.0
 Bosnia and Herzegovina,Zenica,30.55555555555556,69.44444444444444,59.375,40.625
 Botswana,Gaborone,67.10526315789474,32.89473684210526,62.5,37.5
 Botswana,Tlokweng,62.5,37.5,25.0,75.0
 Brazil,Americana,25.0,75.0,25.0,75.0
 Brazil,Aracatuba,50.0,50.0,100.0,0.0
 Brazil,Araraquara,58.333333333333336,41.666666666666664,50.0,50.0
 Brazil,Atibaia,75.0,25.0,75.0,25.0
 Brazil,Balneario Camboriu,25.0,75.0,12.5,87.5
 Brazil,Barueri,50.0,50.0,50.0,50.0
 Brazil,Bauru,58.333333333333336,41.666666666666664,50.0,50.0
 Brazil,Belem,81.25,18.75,6.25,93.75
 Brazil,Belo Horizonte,51.171875,48.828125,52.54237288135593,47.45762711864407
 Brazil,Boa Vista,91.66666666666669,8.333333333333314,41.666666666666664,58.333333333333336
 Brazil,Brasilia,76.53061224489797,23.469387755102034,61.95652173913043,38.04347826086957
 Brazil,Cabo Frio,87.5,12.5,37.5,62.5
 Brazil,Campinas,61.02941176470589,38.97058823529411,51.666666666666664,48.333333333333336
 Brazil,Campo Grande,92.5,7.5,42.85714285714286,57.14285714285714
 Brazil,Campos dos Goytacazes,65.0,35.0,50.0,50.0
 Brazil,Canoas,62.5,37.5,12.5,87.5
 Brazil,Cascavel,100.0,0.0,62.5,37.5
 Brazil,Catanduva,37.5,62.5,50.0,50.0
 Brazil,Caxias do Sul,85.0,15.0,62.5,37.5
 Brazil,Colombo,33.333333333333336,66.66666666666666,50.0,50.0
 Brazil,Contagem,50.0,50.0,25.0,75.0
 Brazil,Cuiaba,25.0,75.0,62.5,37.5
 Brazil,Curitiba,73.10126582278481,26.89873417721519,51.08695652173913,48.91304347826087
 Brazil,Diadema,41.66666666666667,58.33333333333333,25.0,75.0
 Brazil,Dourados,75.0,25.0,25.0,75.0
 Brazil,Duque de Caxias,12.5,87.5,50.0,50.0
 Brazil,Embu das Artes,50.0,50.0,50.0,50.0
 Brazil,Feira de Santana,62.5,37.5,37.5,62.5
 Brazil,Florianopolis,82.6086956521739,17.391304347826093,32.60869565217391,67.3913043478261
 Brazil,Fortaleza,66.66666666666666,33.33333333333334,43.05555555555556,56.94444444444444
 Brazil,Foz do Iguacu,100.0,0.0,66.66666666666666,33.333333333333336
 Brazil,Franca,100.0,0.0,50.0,50.0
 Brazil,Goiania,68.75,31.25,60.41666666666667,39.58333333333333
 Brazil,Guarapuava,100.0,0.0,100.0,0.0
 Brazil,Guarulhos,67.85714285714286,32.14285714285714,78.125,21.875
 Brazil,Indaiatuba,87.5,12.5,68.75,31.25
 Brazil,Itajai,100.0,0.0,100.0,0.0
 Brazil,Itapetininga,62.5,37.5,50.0,50.0
 Brazil,Jaragua do Sul,87.5,12.5,62.5,37.5
 Brazil,Joao Pessoa,86.11111111111111,13.888888888888886,56.25,43.75
 Brazil,Joinville,77.94117647058823,22.058823529411768,41.17647058823529,58.82352941176471
 Brazil,Juiz de Fora,80.0,20.0,41.666666666666664,58.333333333333336
 Brazil,Jundiai,67.85714285714286,32.14285714285714,95.0,4.999999999999999
 Brazil,Lages,62.5,37.5,25.0,75.0
 Brazil,Limeira,12.5,87.5,25.0,75.0
 Brazil,Linhares,100.0,0.0,0.0,100.0
 Brazil,Londrina,80.0,20.0,65.0,35.0
 Brazil,Macae,100.0,0.0,62.5,37.5
 Brazil,Manaus,31.25,68.75,53.57142857142857,46.42857142857143
 Brazil,Marilia,83.33333333333333,16.66666666666667,100.0,0.0
 Brazil,Maringa,95.83333333333331,4.166666666666686,75.0,25.0
 Brazil,Mogi das Cruzes,90.0,10.0,80.0,20.0
 Brazil,Montes Claros,50.0,50.0,75.0,25.0
 Brazil,Natal,80.68181818181819,19.318181818181813,40.90909090909091,59.09090909090909
 Brazil,Niteroi,57.8125,42.1875,47.72727272727273,52.27272727272727
 Brazil,Nova Friburgo,100.0,0.0,100.0,0.0
 Brazil,Nova Iguacu,45.0,55.0,0.0,100.0
 Brazil,Novo Hamburgo,87.5,12.5,100.0,0.0
 Brazil,Olinda,50.0,50.0,25.0,75.0
 Brazil,Osasco,35.0,65.0,33.33333333333334,66.66666666666666
 Brazil,Osorio,100.0,0.0,25.0,75.0
 Brazil,Parnaiba,100.0,0.0,25.0,75.0
 Brazil,Passo Fundo,50.0,50.0,25.0,75.0
 Brazil,Patos de Minas,25.0,75.0,50.0,50.0
 Brazil,Paulista,75.0,25.0,75.0,25.0
 Brazil,Pelotas,50.0,50.0,50.0,50.0
 Brazil,Petrolina,87.5,12.5,25.0,75.0
 Brazil,Petropolis,100.0,0.0,25.0,75.0
 Brazil,Piracicaba,40.0,60.0,75.0,25.0
 Brazil,Ponta Grossa,62.5,37.5,62.5,37.5
 Brazil,Porto Alegre,54.66101694915254,45.33898305084746,40.74074074074075,59.25925925925925
 Brazil,Porto Velho,50.0,50.0,50.0,50.0
 Brazil,Pouso Alegre,87.5,12.5,62.5,37.5
 Brazil,Praia Grande,75.0,25.0,0.0,100.0
 Brazil,Presidente Prudente,68.75,31.25,87.5,12.5
 Brazil,Recife,49.16666666666666,50.83333333333334,22.58064516129032,77.41935483870968
 Brazil,Resende,62.5,37.5,50.0,50.0
 Brazil,Ribeirao Preto,47.72727272727273,52.27272727272727,38.88888888888888,61.11111111111112
 Brazil,Rio Claro,25.0,75.0,50.0,50.0
 Brazil,Rio das Ostras,25.0,75.0,0.0,100.0
 Brazil,Rio de Janeiro,46.81208053691275,53.18791946308725,22.758620689655174,77.24137931034483
 Brazil,Salvador,83.0,17.0,48.68421052631579,51.31578947368421
 Brazil,Santa Maria,62.5,37.5,12.5,87.5
 Brazil,Santo Andre,50.0,50.0,100.0,0.0
 Brazil,Santos,65.625,34.375,81.25,18.75
 Brazil,Sao Bernardo do Campo,28.125,71.875,33.33333333333334,66.66666666666666
 Brazil,Sao Caetano do Sul,37.5,62.5,50.0,50.0
 Brazil,Sao Carlos,80.0,20.0,55.0,45.0
 Brazil,Sao Joao de Meriti,0.0,100.0,25.0,75.0
